Company Name,Business Sector,Category,Tags,H1B Sponsorship Likelihood,Fortune 500 (yes/no),Fortune 1500 (Yes if 500-1500/No),Boutique (Yes/No),AnalystsPick (Popular amoung Wallstreet waiting for IPO),Publicly traded (Yes/No)
"Fin Dynamics","Web3 & Crypto",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"PulseRobotics","HR Tech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"AxiomAI","E-commerce",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Bio Dynamics","HealthTech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Shift Intelligence","Enterprise SaaS",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"VanguardSystems","Data & Analytics",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Synthe Solutions","CleanTech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"ZephyrCyber","HR Tech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Apex Analytics","Web3 & Crypto",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Axiom Soft","E-commerce",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"CoreSolutions","CleanTech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Shift Solutions","Logistics Tech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"SyntheSecurity","Logistics Tech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"NeuroNetworks","Legal Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Axiom Dynamics","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"NeuroLabs","E-commerce",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Cloud Genomics","Logistics Tech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Vault Matrix","Consumer Tech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Zephyr Robotics","Enterprise SaaS",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Quantum Security","Enterprise SaaS",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Deep Logic","AI & Machine Learning",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Kinex Grid","E-commerce",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Zephyr Dynamics","HealthTech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"FluxCloud","Data & Analytics",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Pulse Matrix","Data & Analytics",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Kinex Cloud","CleanTech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,Yes,No
"PulseNetworks","Web3 & Crypto",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"CloudMatrix","HR Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Flux Dynamics","Web3 & Crypto",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Zephyr Logic","Cybersecurity",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"QuantumMatrix","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Pulse Health","Consumer Tech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Forge Cyber","Web3 & Crypto",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Bio Tech","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"PulseTechnologies","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"DeepCapital","E-commerce",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"NovaSoft","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Pulse Solutions","HR Tech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Vault Cyber","Data & Analytics",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"OmniHealth","HR Tech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Nexus Labs","AI & Machine Learning",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Nova Intelligence","Cybersecurity",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Cyber Analytics","Cybersecurity",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Flux Web","HealthTech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"ZephyrVentures","Web3 & Crypto",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Echo Ops","CleanTech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Cyber Ops","Consumer Tech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Vanguard Health","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Bio Solutions","Data & Analytics",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Bio Sphere","CleanTech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Synthe Robotics","HR Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Quantum Cloud","Data & Analytics",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Data Genomics","Data & Analytics",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Cogito Cyber","HR Tech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Pulse Capital","Web3 & Crypto",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Axiom Soft","Enterprise SaaS",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Cogito Health","Cybersecurity",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Aegis Cloud","Legal Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Aegis Soft","HR Tech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"CogitoAnalytics","CleanTech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Kinex Tech","HealthTech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"TechMatrix","CleanTech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Vanguard Networks","CleanTech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Cogito Systems","Consumer Tech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Neuro Health","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Health Genomics","Legal Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Deep Ventures","CleanTech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Kinex Grid","AI & Machine Learning",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"VaultCyber","Enterprise SaaS",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"BioMatrix","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Apex Capital","HR Tech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Cyber Health","Fintech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Lumi Solutions","E-commerce",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"NeuroSystems","Consumer Tech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Core Labs","Legal Tech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"KinexLogic","Fintech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Quantum Data","AI & Machine Learning",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Pulse Cyber","Enterprise SaaS",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Quantum Matrix","AI & Machine Learning",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Cogito Systems","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Cyber Logic","Legal Tech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Fin Data","Fintech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Lumi Analytics","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Vertex Cloud","Logistics Tech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"HealthSoft","Cloud Infrastructure",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Vanguard Dynamics","Enterprise SaaS",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Zephyr Data","Legal Tech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,Yes,No
"Bio Genomics","Legal Tech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Kinex Grid","AI & Machine Learning",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,Yes,No
"ApexOps","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Aegis Soft","HealthTech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,Yes,No
"Synthe Systems","HealthTech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Data Logic","HR Tech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Tech Networks","E-commerce",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Zephyr Solutions","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Data Health","Legal Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Tech Technologies","Logistics Tech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Vault Cloud","Logistics Tech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"PulseWeb","Cybersecurity",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"AegisNetworks","Consumer Tech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Nova Capital","Fintech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Data Networks","AI & Machine Learning",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"AxiomSystems","Consumer Tech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Tech Robotics","HR Tech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Nova Ventures","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Tech Data","Fintech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Deep Soft","Enterprise SaaS",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Bio Ops","Legal Tech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"AxiomWeb","Enterprise SaaS",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Zephyr Intelligence","Enterprise SaaS",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"NeuroAnalytics","CleanTech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Nova Grid","Fintech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Vanguard Solutions","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,Yes,No
"Health Ventures","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Cyber Cloud","E-commerce",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Aegis Genomics","Enterprise SaaS",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"VertexIntelligence","Cloud Infrastructure",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Apex Web","HR Tech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Echo Matrix","AI & Machine Learning",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"ForgeSolutions","Legal Tech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Data Web","Fintech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Cyber Ops","Consumer Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Tech Analytics","Logistics Tech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Vault Labs","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Data Labs","Enterprise SaaS",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Synthe Ops","AI & Machine Learning",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Bio Networks","Consumer Tech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,Yes,No
"ShiftLabs","AI & Machine Learning",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Data AI","Cybersecurity",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Cogito Networks","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Core Cyber","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Deep Networks","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Pulse Dynamics","Legal Tech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Kinex Dynamics","Legal Tech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Cyber Ops","Logistics Tech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Kinex Analytics","CleanTech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Cogito Sphere","AI & Machine Learning",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Apex Matrix","Cloud Infrastructure",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Nova Dynamics","Fintech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Data Technologies","Logistics Tech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"DeepWeb","HealthTech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Vault Dynamics","AI & Machine Learning",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"ApexCapital","Legal Tech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Shift Security","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"ForgeGrid","Consumer Tech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Zephyr Genomics","Consumer Tech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"LumiCyber","CleanTech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Shift Security","Cloud Infrastructure",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Forge Analytics","Legal Tech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Lumi Matrix","HR Tech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Neuro Robotics","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Axiom Web","Fintech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"DeepVentures","Logistics Tech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Pulse AI","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Kinex Labs","E-commerce",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"ApexTech","Enterprise SaaS",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Fin Intelligence","Consumer Tech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Omni Robotics","AI & Machine Learning",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Omni Ventures","Fintech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Tech Dynamics","Consumer Tech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"VertexCyber","Logistics Tech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Aegis Robotics","Legal Tech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Cyber Ops","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Omni Technologies","AI & Machine Learning",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"ShiftRobotics","E-commerce",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Synthe Solutions","CleanTech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Bio Robotics","AI & Machine Learning",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"ZephyrCapital","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Neuro Analytics","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Nexus Systems","AI & Machine Learning",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Bio Soft","Consumer Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Nova Tech","HealthTech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Health Technologies","AI & Machine Learning",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Core Tech","Legal Tech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,Yes,No
"Bio Data","Legal Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Lumi Intelligence","Data & Analytics",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Apex Ventures","Fintech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"AxiomCloud","Legal Tech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Quantum Soft","Web3 & Crypto",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Tech Tech","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Bio AI","Enterprise SaaS",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Nova Cloud","Consumer Tech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"KinexTechnologies","Logistics Tech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Deep Capital","CleanTech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Neuro Matrix","Web3 & Crypto",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,Yes,No
"Health Grid","Data & Analytics",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Vertex Logic","HealthTech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Axiom Tech","Enterprise SaaS",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"AegisLabs","Data & Analytics",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"NexusRobotics","E-commerce",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Nexus Sphere","CleanTech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"DeepGenomics","Legal Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Synthe Dynamics","Legal Tech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"VanguardNetworks","Logistics Tech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Nexus Intelligence","HealthTech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Neuro Tech","HR Tech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Vanguard Ops","Fintech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,Yes,No
"Tech Capital","Web3 & Crypto",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Cloud Capital","Consumer Tech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Neuro Cloud","Logistics Tech",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"KinexCyber","Data & Analytics",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"NeuroLogic","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Axiom Soft","HR Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Fin Networks","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Apex Data","Legal Tech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,Yes,No
"Kinex Ventures","Fintech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"AxiomCyber","CleanTech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Vault Web","Fintech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Data Security","HealthTech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"NexusGenomics","AI & Machine Learning",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Synthe Matrix","AI & Machine Learning",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Flux Health","Fintech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,Yes,No
"Zephyr Systems","Enterprise SaaS",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Echo Technologies","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Lumi Sphere","Fintech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Tech Sphere","HealthTech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"Kinex Intelligence","Fintech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Forge Labs","Fintech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"ZephyrCloud","HealthTech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Omni Cyber","Logistics Tech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Omni Web","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"OmniIntelligence","Enterprise SaaS",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Tech Security","Web3 & Crypto",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,Yes,No
"Core Robotics","HealthTech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Tech Technologies","AI & Machine Learning",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Shift Ventures","HealthTech",Mid-Market,"Boutique, Fast-Growing",High,no,no,Yes,No,No
"FluxDynamics","Consumer Tech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Aegis Dynamics","Fintech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Flux Cyber","HR Tech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Deep Health","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"KinexAI","Data & Analytics",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Lumi Systems","E-commerce",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Echo Security","Data & Analytics",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Shift Ventures","Cloud Infrastructure",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Axiom Genomics","Data & Analytics",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Axiom Genomics","HealthTech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"KinexOps","Fintech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"DeepGrid","HealthTech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"FinAI","Legal Tech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"EchoHealth","AI & Machine Learning",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
"Apex Intelligence","Logistics Tech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Data Data","Fintech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"OmniMatrix","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"SyntheData","HR Tech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"LumiDynamics","HealthTech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Neuro Genomics","Enterprise SaaS",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Vault Security","Fintech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"OmniGrid","Logistics Tech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Health Sphere","Legal Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Core Health","HR Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Kinex Genomics","Consumer Tech",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"EchoTech","CleanTech",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Core AI","HR Tech",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Fin Intelligence","CleanTech",Mid-Market,"Mid-Market, Series B/C",Medium-High,no,no,No,No,No
"Fin Tech","HR Tech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,Yes,No
"Echo Ops","AI & Machine Learning",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"TechGenomics","E-commerce",Mid-Market,"Boutique, Fast-Growing",Very High,no,no,Yes,No,No
"Vault Sphere","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"Neuro Analytics","CleanTech",Mid-Market,"Boutique, Fast-Growing",Medium-High,no,no,Yes,No,No
"Shift Health","Cybersecurity",Mid-Market,"Boutique, Fast-Growing",Medium,no,no,Yes,No,No
"OmniSphere","Enterprise SaaS",Mid-Market,"Mid-Market, Series B/C",Very High,no,no,No,No,No
"Neuro Networks","Enterprise SaaS",Mid-Market,"Mid-Market, Series B/C",Medium,no,no,No,No,No
"Zephyr Cyber","Logistics Tech",Mid-Market,"Mid-Market, Series B/C",High,no,no,No,No,No
